210411,82,3,4,Right,112391,350,otávio_gold,Explosive,Average,Gold,54000
243245,82,5,3,Right,327,68,o._kökçü_gold,Controlled,Average,Gold,25000
224334,78,3,3,Left,1876,353,m._acuña_gold,Controlled,Stocky,Gold,22000
237238,85,3,3,Right,48,31,s._mctominay_gold,Lengthy,Average Tall,Gold,150000
202126,89,4,3,Right,21,19,h._kane_gold,Lengthy,Unique,Gold,155000
248243,83,3,4,Left,243,53,e._camavinga_gold,Controlled,Lean Tall,Gold,175000
224293,84,4,3,Right,605,350,rúben_neves_gold,Controlled,Average,Gold,68000
246863,82,3,4,Right,22,19,f._nmecha_gold,Mostly Lengthy,Average Tall,Gold,50000
258648,81,2,3,Left,44,31,carlos_augusto_gold,Controlled,Average,Gold,38000
210881,81,2,3,Left,2,13,j._mcginn_gold,Controlled,Stocky,Gold,120000
225201,82,4,3,Right,448,53,berenguer_gold,Explosive,Average,Gold,59000
208333,82,4,3,Right,22,19,e._can_gold,Mostly Lengthy,Stocky Tall,Gold,60000
228251,80,4,3,Right,52,31,l._pellegrini_gold,Controlled,Average Tall,Gold,63000
240950,83,4,4,Right,237,308,pedro_gonçalves_gold,Mostly Explosive,Average,Gold,32000
223334,82,3,3,Right,13,13,joelinton_gold,Mostly Lengthy,Stocky Tall,Gold,140000
252145,86,4,3,Left,73,16,nuno_mendes_gold,Mostly Explosive,Average,Gold,110000
188545,88,4,4,Right,241,53,r._lewandowski_gold,Mostly Lengthy,Unique,Gold,155000
247246,81,3,3,Right,45,31,k._thuram_gold,Controlled,Lean Tall,Gold,105000
181458,81,5,4,Right,247,10,i._perišić_gold,Controlled,Lean Tall,Gold,25000
243014,85,2,4,Left,11,13,b._mbeumo_gold,Explosive,Stocky,Gold,135000
216393,85,4,4,Right,2,13,y._tielemans_gold,Controlled,Average,Gold,170000
195479,77,2,3,Right,86,50,j._tavernier_gold,Controlled,Average,Gold,52000
256790,88,4,5,Right,21,19,j._musiala_gold,Controlled,Lean,Gold,110000
239231,84,3,3,Left,5,13,marc_cucurella_gold,Mostly Explosive,Average,Gold,155000
223959,83,3,3,Right,325,68,l._torreira_gold,Mostly Explosive,Average Short,Gold,73000
212811,79,4,3,Right,325,68,m._lemina_gold,Controlled,Average,Gold,55000
177003,83,4,4,Right,47,31,l._modrić_gold,Mostly Explosive,Lean,Gold,47000
230938,80,4,3,Right,112387,350,f._kessié_gold,Mostly Lengthy,Average,Gold,49000
226226,82,3,4,Left,449,53,g._lo_celso_gold,Controlled Explosive,Average,Gold,43000
231913,80,3,3,Right,234,308,f._aursnes_gold,Controlled,Lean,Gold,26000
247394,83,3,4,Left,18,13,d._kulusevski_gold,Controlled,Average Tall,Gold,125000
218667,84,3,4,Left,10,13,bernardo_silva_gold,Controlled Explosive,Lean,Gold,165000
256630,89,4,4,Right,9,13,f._wirtz_gold,Mostly Explosive,Average,Gold,190000
238744,78,3,3,Right,45,31,w._mckennie_gold,Controlled,Stocky,Gold,95000
213666,80,4,4,Right,47,31,r._loftus-cheek_gold,Controlled Lengthy,Average Tall,Gold,55000
202648,81,3,3,Right,453,53,sergi_darder_gold,Controlled,Lean,Gold,43000
219683,81,2,3,Right,66,16,c._tolisso_gold,Controlled Lengthy,Average,Gold,30000
216352,81,4,3,Right,112139,350,m._brozović_gold,Controlled,Lean,Gold,52000
251479,80,4,2,Left,1808,13,m._de_cuyper_gold,Controlled Explosive,Lean,Gold,78000
251806,80,3,3,Right,246,10,q._timber_gold,Controlled,Average,Gold,19000
211093,79,4,4,Left,78,50,c._mcgregor_gold,Mostly Explosive,Average,Gold,61000
236499,80,2,3,Right,14,13,douglas_luiz_gold,Controlled Explosive,Average,Gold,110000
215590,83,4,4,Right,483,53,ayoze_gold,Mostly Explosive,Lean,Gold,65000
234396,84,3,4,Left,21,19,a._davies_gold,Controlled,Unique,Gold,74000
239807,81,4,3,Right,44,31,d._frattesi_gold,Mostly Explosive,Average,Gold,38000
,,,,,,,d._frattesi_gold,Mostly Explosive,Average,Gold,38000
