id,name,logo_url,league_id,short_name
297,Atltico de SL,,23,
298,Libertad,,32,
299,Servette FC,,39,
300,Lech Poznań,,46,
301,Dalian Yingbo,,47,
302,Konyaspor,,11,
303,Kocaelispor,,11,
304,Cremonese,,42,
305,Jagiellonia,,46,
306,Unión,,20,
307,Karlsruher SC,,22,
308,Hellas Verona,,42,
309,Shandong Taishan,,47,
310,Estoril Praia,,13,
311,Club Len,,23,
312,Houston Dynamo,,7,
313,GKS Katowice,,46,
314,Al Hazem,,14,
315,FC Utrecht,,21,
316,Philadelphia,,7,
317,Ulsan HD FC,,48,
318,SK Sturm Graz,,40,
319,Glasgow City FC,,49,
320,F.C. København,,26,
321,Real Salt Lake,,7,
322,Millwall,,19,
323,AS Saint-Étienne,,43,
324,Stoke City,,19,
325,Colorado Rapids,,7,
326,Sparta Praha,,29,
327,Standard Liège,,17,
328,Havre AC,,10,
329,1. FC Nürnberg,,9,
330,Çorum Futbol Kulübü,,11,
331,STVV,,17,
332,FC Seoul,,48,
333,KV Mechelen,,17,
334,US Saint-Malo,,10,
335,Club Tijuana,,23,
336,1. FSV Mainz 05,,9,
337,PFC Ludogorets,,50,
338,Indep. Santa Fe,,32,
339,Sampdoria,,42,
340,Chengdu FC,,47,
341,Cerro Porteño,,32,
342,FC Nantes,,43,
343,Platense,,20,
344,FC Lugano,,39,
345,Daejeon Hana,,48,
346,Gaziantep,,11,
347,FC Jurez,,23,
348,Qarabağ FK,,51,
349,Derby County,,19,
350,Atlético Tucumán,,20,
351,Club Necaxa,,23,
352,BSC Young Boys,,39,
353,Avellino,,42,
354,Albacete BP,,30,
355,Shanghai Shenhua,,47,
356,Havre AC,,5,
357,FC St. Pauli,,22,
358,KS Wieczysta Kraków,,46,
359,Vitória SC,,13,
360,Incheon United,,48,
361,Estrela Amadora,,13,
362,R. Sporting,,30,
363,Gil Vicente,,13,
364,Wuhan Three Towns,,47,
365,Zhejiang Pro,,47,
366,Toronto FC,,7,
367,Amed Sportif Faaliyetler,,11,
368,Uni. Católica,,32,
369,Leicester City,,52,
370,Santos Laguna,,23,
371,Gimnasia,,20,
372,Tianjin JMT FC,,47,
373,FC Nordsjælland,,26,
374,Erzurumspor Futbol Kulübü,,11,
375,Jeonbuk Hyundai,,48,
376,Go Ahead Eagles,,21,
377,Pisa,,42,
378,Watford,,19,
379,Dep. Riestra,,20,
380,UD Las Palmas,,30,
381,Fortuna Sittard,,21,
382,Aldosivi,,20,
383,Rio Ave FC,,13,
384,Olimpia,,35,
385,Bolton,,19,
386,Huracán,,20,
387,Korona Kielce,,46,
388,Austin FC,,7,
389,Yunnan Yukun,,47,
390,Legia Warszawa,,46,
391,Arouca,,13,
392,Universitario,,32,
393,Hamburger SV,,9,
394,FC Zürich,,53,
395,San Lorenzo,,20,
396,ESTAC Troyes,,5,
397,IDV,,32,
398,FC Rosengård,,28,
399,GAIS,,54,
400,Cercle Brugge,,17,
401,Univ. Craiova,,55,
402,Valencia CF,,6,
403,Mjällby AIF,,54,
404,Motor Lublin,,46,
405,Pogoń Szczecin,,46,
406,Omonia FC,,45,
407,Hammarby IF,,54,
408,VfL Bochum 1848,,22,
409,Buriram United,,56,
410,Norwich,,19,
411,Sheffield Utd,,19,
412,FC Metz,,43,
413,Portsmouth,,19,
414,Aberdeen,,27,
415,OH Leuven,,17,
416,CE Sabadell FC,,30,
417,Kasımpaşa,,11,
418,LASK,,40,
419,Banfield,,20,
420,Granada CF,,30,
421,Charlton Ath,,19,
422,Widzew Łódź,,46,
423,Wrexham,,19,
424,Modena,,42,
425,Henan FC,,47,
426,Bristol City,,19,
427,Newell's,,20,
428,Pau FC,,43,
429,Blackburn Rovers,,19,
430,Tigre,,20,
431,Beijing FC,,47,
432,Montpellier,,43,
433,Preston,,19,
434,FC St. Gallen,,39,
435,Barcelona SC,,32,
436,Casa Pia AC,,13,
437,CD Leganés,,30,
438,Gangwon FC,,48,
439,1. FC Magdeburg,,22,
440,Cienciano,,35,
441,Hertha BSC,,22,
442,Qingdao W. Coast,,47,
443,West Brom,,19,
444,QPR,,19,
445,FC Anyang,,48,
446,Club Puebla,,23,
447,Royal Antwerp FC,,17,
448,CFR 1907 Cluj,,55,
449,FC Groningen,,21,
450,1. FC Nürnberg,,22,
451,FC Luzern,,39,
452,sc Heerenveen,,21,
453,LDU Quito,,32,
454,SV Elversberg,,4,
455,Al Kholood,,14,
456,FC Alverca,,13,
457,D.C. United,,7,
458,Kaiserslautern,,22,
459,Gençlerbirliği,,11,
460,Moreirense FC,,13,
461,Motherwell,,27,
462,Santa Clara,,13,
463,Nacional,,13,
464,Córdoba CF,,30,
465,Göztepe,,11,
466,FC Univ. Cluj,,55,
467,SC Telstar,,21,
468,Sheffield Wed,,52,
469,FK Austria Wien,,40,
470,AIK,,54,
471,Mantova,,42,
472,Malmö FF,,54,
473,Randers FC,,26,
474,Cesena,,42,
475,Energie Cottbus,,22,
476,Sporting Cristal,,32,
477,Catanzaro,,42,
478,SV Darmstadt 98,,22,
479,SK Brann,,25,
480,América de Cali,,35,
481,Millonarios,,35,
482,CD Castellón,,30,
483,Always Ready,,32,
484,Südtirol,,42,
485,Newcastle Jets,,57,
486,Samsunspor,,11,
487,FCSB,,55,
488,FC Dinamo 1948,,55,
489,Cusco FC,,32,
490,Hibernian,,27,
491,Alanyaspor,,11,
492,Brøndby IF,,26,
493,IFK Göteborg,,54,
494,CD Tenerife,,30,
495,Carrarese Calcio,,42,
496,Rodez AF,,43,
497,Benevento,,42,
498,SC Paderborn 07,,4,
499,KV Kortrijk,,17,
500,Red Star FC,,43,
501,SD Eibar,,30,
502,Braunschweig,,22,
503,Çaykur Rizespor,,11,
504,Académico de Viseu FC,,13,
505,FC Botoșani,,55,
506,SZ Peng City,,47,
507,Molde FK,,25,
508,FC Sion,,39,
509,Sporting KC,,7,
510,SK Rapid,,40,
511,Shanghai Port FC,,47,
512,Rosenborg BK,,25,
513,Atlante FC,,23,
514,Mohun Bagan SG,,58,
515,Breidablik,,59,
516,Górnik Zabrze,,46,
517,IK Sirius,,54,
518,Barracas Central,,20,
519,Quertaro FC,,23,
520,Liaoning FC,,47,
521,UTA Arad,,55,
522,RC Lens,,10,
523,Cádiz CF,,30,
524,NorthEast United,,58,
525,Holstein Kiel,,22,
526,Djurgårdens IF,,54,
527,Recoleta,,35,
528,Melb. Victory,,57,
529,Waasland-Beveren,,17,
530,Laval MFC,,43,
531,BK Häcken,,54,
532,Cracovia,,46,
533,Wycombe,,52,
534,PEC Zwolle,,21,
535,Bolívar,,32,
536,Wisła Płock,,46,
537,Odense BK,,26,
538,Shamrock Rovers,,60,
539,Fürth,,22,
540,Vålerenga Fotball,,25,
541,Düsseldorf,,61,
542,IF Elfsborg,,54,
543,Indep. Medellín,,32,
544,Central Córdoba,,20,
545,Oxford United,,52,
546,UCV FC,,32,
547,Deportes Tolima,,32,
548,Sarmiento,,20,
549,FC Zürich,,39,
550,RAAL La Louvière,,17,
551,Chongqing FC,,47,
552,FC Rapid 1923,,55,
553,R. Valladolid CF,,30,
554,Raków,,46,
555,Burgos CF,,30,
556,Zulte Waregem,,17,
557,FC Thun,,39,
558,Asociación Atlética Estudiantes,,20,
559,Bucheon FC 1995,,48,
560,Excelsior,,21,
561,En Avant Guingamp,,43,
562,FC Annecy,,43,
563,Ascoli,,42,
564,SS Juve Stabia,,42,
565,Sparta Rotterdam,,21,
566,FC Argeș,,55,
567,Entella,,42,
568,Lincoln City,,19,
569,Alianza Atltico,,35,
570,Macar,,35,
571,Willem II,,21,
572,KFUM-Kameratene,,25,
573,Derry City,,60,
574,SCR Altach,,40,
575,Tromsø IL,,25,
576,Auckland FC,,57,
577,Adelaide United,,57,
578,Perth Glory,,57,
579,Coquimbo Unido,,32,
580,Juventud,,35,
581,Viborg FF,,26,
582,Dynamo Dresden,,22,
583,Cardiff City,,19,
584,Pohang Steelers,,48,
585,MK Dons,,52,
586,Palestino,,35,
587,Eyüpspor,,11,
588,Arminia Bielefeld,,22,
589,Jeju United,,48,
590,Dundee United,,27,
591,Silkeborg IF,,26,
592,Arezzo,,42,
593,Puerto Cabello,,35,
594,Radomiak Radom,,46,
595,Lausanne-Sport,,39,
596,City Torque,,35,
597,Carabobo FC,,35,
598,Brommapojkarna,,54,
599,Empoli,,42,
600,GC Zürich,,39,
601,SC Oțelul Galați,,55,
602,Lyngby BK,,26,
603,Grenoble Foot 38,,43,
604,HamKam Fotball,,25,
605,Dep. La Guaira,,32,
606,SC Cambuur,,21,
607,Stockport,,52,
608,USL Dunkerque,,43,
609,HJK Helsinki,,62,
610,Zagłębie Lubin,,46,
611,Melbourne City,,57,
612,Aleman. Aachen,,61,
613,Luton Town,,52,
614,Bengaluru FC,,58,
615,Leyton Orient,,52,
616,Wehen Wiesbaden,,61,
617,AS Nancy Lorraine,,43,
618,O'Higgins,,35,
619,Sarpsborg 08,,25,
620,Ind. Petrolero,,35,
621,Sydney FC,,57,
622,L. R. Vicenza,,42,
623,Qingdao Hainiu,,47,
624,AD Ceuta FC,,30,
625,Lommel SK,,17,
626,SV Oberbank Ried,,40,
627,Fredrikstad FK,,25,
628,Reading,,52,
629,Plymouth Argyle,,52,
630,Piast Gliwice,,46,
631,Gimcheon Sangmu,,48,
632,VfL Osnabrück,,22,
633,Audax Italiano,,35,
634,Clermont Foot 63,,43,
635,Dep. Cuenca,,35,
636,Boston River,,35,
637,Wisła Kraków,,46,
638,Wolfsberger AC,,40,
639,Rot-Weiss Essen,,61,
640,Marítimo da Madeira,,13,
641,Real Sociedad B,,30,
642,Degerfors IF,,54,
643,ADO Den Haag,,21,
644,Lillestrøm SK,,25,
645,CD Eldense,,30,
646,Mansfield Town,,52,
647,Brisbane Roar,,57,
648,Cheltenham Town,,63,
649,Falkirk,,27,
650,Wigan Athletic,,52,
651,Stevenage,,52,
652,Sligo Rovers,,60,
653,Kristiansund BK,,25,
654,Tranmere Rovers,,63,
655,Huddersfield,,52,
656,Kilmarnock,,27,
657,Caracas FC,,35,
658,Bradford City,,52,
659,Preußen Münster,,61,
660,MSV Duisburg,,61,
661,Śląsk Wrocław,,46,
662,Saarbrücken,,61,
663,Sønderjyske,,26,
664,Farul Constanța,,55,
665,IK Start,,25,
666,Dundee FC,,27,
667,WS Wanderers,,57,
668,Doncaster,,52,
669,St. Pats,,60,
670,Blackpool,,52,
671,Bohemians,,60,
672,Blooming,,35,
673,St. Mirren,,27,
674,TSV Hartberg,,40,
675,FC Petrolul,,55,
676,Notts County,,52,
677,Salford City,,63,
678,US Boulogne,,43,
679,Dijon Football Côte d’Or,,43,
680,Västerås SK,,54,
681,Grazer AK,,40,
682,Celta Fortuna,,30,
683,FC Corvinul 1921 Hunedoara,,55,
684,FC Vaduz,,39,
685,Waterford,,60,
686,Macarthur FC,,57,
687,Mumbai City FC,,58,
688,SC Austria,,40,
689,Well. Phoenix,,57,
690,Gwangju FC,,48,
691,FC Hansa Rostock,,61,
692,Peterborough,,52,
693,Chesterfield,,63,
694,TSG Hoffenheim II,,61,
695,Viktoria Köln,,61,
696,Sepsi OSK,,55,
697,Sandefjord,,25,
698,Barnsley,,52,
699,FC Sochaux-Montbéliard,,43,
700,Chennaiyin FC,,58,
701,AC Horsens,,26,
702,Aalesunds FK,,25,
703,Halmstads BK,,54,
704,SG Sonnenhof Großaspach,,61,
705,Exeter City,,63,
706,FC Ingolstadt 04,,61,
707,St. Johnstone,,27,
708,WSG Tirol,,40,
709,Örgryte IS,,54,
710,Central Coast,,57,
711,Port Vale,,63,
712,Northampton,,63,
713,SV Waldhof,,61,
714,Bromley FC,,52,
715,Inter Kashi,,58,
716,Odisha FC,,58,
717,AFC Wimbledon,,52,
718,VfB Stuttgart II,,61,
719,Swindon Town,,63,
720,Cambridge Utd,,52,
721,Jahn Regensburg,,61,
722,FK Csíkszereda,,55,
723,Kalmar FF,,54,
724,FC Voluntari,,55,
725,SC Verl,,61,
726,TSV Havelse,,61,
727,SC Fortuna Köln,,61,
728,Crawley Town,,63,
729,Rotherham Utd,,63,
730,Shelbourne,,60,
731,Grimsby Town,,63,
732,Colchester,,63,
733,Crewe Alexandra,,63,
734,FC Goa,,58,
735,Oldham Athletic,,63,
736,FC Würzburger Kickers,,61,
737,Burton Albion,,52,
738,Fleetwood Town,,63,
739,Barnet,,63,
740,Walsall,,63,
741,SV Meppen,,61,
742,York City,,63,
743,Gillingham,,63,
744,Bristol Rovers,,63,
745,Accrington,,63,
746,Shrewsbury,,63,
747,Drogheda United,,60,
748,Kerala Blasters,,58,
749,Rochdale,,63,
750,Hyderabad FC,,58,
751,Dundalk,,60,
752,Newport County,,63,
753,Galway United,,60,
754,Punjab FC,,58,
